Source Title,Source Year,Definitions Content,Typologies Content,Clinical Content,Regulatory Content
21 CFR Part 876 Subpart D -- Prosthetic Devices,2025,"This eCFR page lists prosthetic devices under 21 CFR Part 876 Subpart D, indicating the regulatory categorization of certain prosthetic devices within FDA's medical device framework [150].",Not mentioned in source.,Not mentioned in source.,"This source provides regulatory context: it is the eCFR entry for Title 21 Part 876 Subpart D (Prosthetic Devices), explaining that the CFR codifies FDA rules and directing to specific sections (876.3350–876.3750) covering prosthetic devices; thus it addresses regulatory classification and where to find device-specific regulations [150]."
DEKA Arm System De Novo Decision Summary,2012,Defines an upper extremity prosthesis as a prescription medical device intended to replace a partially or fully amputated or congenitally absent upper extremity and that uses non-implanted electrical components to provide multiple simultaneously powered degrees of freedom [151]. The DEKA Arm is identified as such and is intended for adults (≥18 years) to assist with activities of daily living (ADLs) and fitted by a certified prosthetist [151].,"Describes device configurations by anatomical amputation level (SC, HC, RC) [151]. Classifies input/control methods including myoelectric electrodes, switches, transducers, IMUs and force sensors—i.e., it exemplifies myoelectric and sensor-based control approaches used in multi-degree-of-freedom prostheses [151]. Does not explicitly discuss passive/cosmetic or body-powered categories; focuses on an advanced powered (myoelectric/sensor-driven) system.","Reports clinical/usability studies (VA and DEKA) using mixed methods and performance/self-report measures to assess dexterity, function, spontaneity of use, satisfaction, and wear time [151]. Outcomes show users often preferred the DEKA Arm for many ADLs and reported improved task performance and similar comfort/wear time compared to prior prostheses; quantitative preference rates are provided [151]. Notes limitations: small samples, some dropouts, limited data for bilateral high-level amputees, and concerns about reliability [151].","Classifies the DEKA Arm via FDA de novo decision under 21 CFR 890.3450, Product Code PAE, Class II, establishing special controls alongside general FD&C Act controls [151]. Special controls require EMC/electrical/thermal/mechanical/battery/wireless testing, software V&V and hazard analysis, non-clinical performance/durability testing, biocompatibility, clinical/human factors data, and detailed labeling describing indications, contraindications, instructions and training [151]."
Premarket Notification 510(k) Process for CBER-Regulated Products,Not provided,"This FDA page defines the 510(k) regulatory submission pathway for demonstrating that a medical device is as safe and effective (substantially equivalent) to a legally marketed device [152]. It also states CBER's regulatory jurisdiction over devices related to blood and cellular products, indicating which center regulates certain devices within FDA's framework [152].",Not mentioned in source.,"This source describes regulatory process steps impacting clinical availability: a device cannot be marketed until SE is declared [152], SE decisions are typically made within 90 days [152], and manufacturers should be ready for post-clearance quality system inspections (21 CFR 820) which relate to device safety and manufacturing control [152].","The page explains the 510(k) pathway: demonstrating substantial equivalence to a predicate device is required for clearance [152]. It situates devices within FDA regulatory options (510(k), PMA, De Novo) [152], lists agency resources for preparing submissions [152], and notes post-clearance quality system inspection requirements (21 CFR 820) relevant to device safety and compliance [152]."
REGULATION (EU) 2017/745 - Medical Devices Regulation (MDR),2017,Not mentioned in source.,Not mentioned in source.,"The Regulation requires devices to meet general safety and performance requirements and to demonstrate conformity through clinical evaluation [153]. It defines clinical evaluation as a systematic process to generate and assess clinical data to verify safety, performance and clinical benefits [153]. Clinical evidence (including non-clinical data) must be included in technical documentation to demonstrate conformity [153]. It mandates post-market clinical follow-up (PMCF) as a continuous process updating the clinical evaluation and included in the manufacturer's post-market surveillance plan [153].","The Regulation establishes the EU regulatory framework for medical devices, defining 'medical device' and scope [153]. It sets classification rules and four risk-based classes in line with international practice [153]. It requires CE marking and conformity assessment, with notified bodies involved depending on class, and establishes Eudamed for transparency and traceability [153]. Manufacturers must implement risk management, quality management systems, clinical evaluation and PMCF, and keep technical documentation and certificates for specified periods [153]. The Regulation strengthens notified body oversight, post-market surveillance, vigilance and clinical evidence requirements, including use of harmonised standards and clinical investigation rules aligned with ISO 14155 and Declaration of Helsinki [153]."
"Title 21—Food and Drugs, Chapter I (CFR) — Subchapter H: Medical Devices (selected sections)",2022,"This regulatory source defines 'device' broadly to include instruments, implants, and accessories intended for diagnosis, cure, mitigation, treatment or prevention of disease, which encompasses upper limb prostheses as medical devices [154]. It also establishes identification requirements such as the Unique Device Identifier (UDI) system for devices to be tracked through distribution and use [154].","The CFR text does not provide clinical typologies (passive/cosmetic, body-powered, myoelectric, hybrid). It addresses device categories relevant to regulatory treatment (e.g., combination products) and labeling/marking requirements for reusable devices, but does not classify prostheses by control type or functional typology. Therefore: Not addressed in this source for clinical typologies; regulatory-relevant categories noted [154].","This source focuses on regulatory and administrative provisions rather than clinical prescribing guidelines. It contains provisions affecting clinical use such as requirements for adequate directions for safe use and procedures for administrative detention of adulterated/misbranded devices, but provides no direct guidance on prosthetic prescription, rehabilitation, or functional outcome measures. Thus clinical prescription/rehab content: Not addressed in this source beyond high-level labeling/use and safety enforcement provisions [154].","The source provides comprehensive regulatory framework details: requirements for labeling including UDI [154], administrative enforcement mechanisms such as detention for adulterated or misbranded devices [154], and device classification pathways including Class I/II/III and requirements for PMA or 510(k) as applicable [154]. It specifies special controls, performance standards, premarket submission timelines for many device types and outlines exemptions and exceptions."
21 CFR Part 860 -- Medical Device Classification Procedures,2025,"The regulation defines the scope as applying to ""devices intended for human use"" and establishes procedures for classification/reclassification under the Federal Food, Drug, and Cosmetic Act; it also defines a ""generic type of device"" as devices grouped by common purpose/function, supporting use of device-level regulatory categorization [155].",Not mentioned in source.,"The source describes criteria and evidence standards used to assess clinical safety and effectiveness for classification decisions, including consideration of intended users and conditions of use, benefit-risk balancing, reliability, and the requirement for valid scientific evidence (well-controlled investigations, clinical studies, case histories) to demonstrate safety and effectiveness [155].","The regulation establishes the US FDA device classification framework (Class I/II/III), defines general and special controls, describes procedures for classification, reclassification, De Novo requests, confidentiality rules, required content of submissions, and the standards for acceptance and review—emphasizing performance testing, postmarket surveillance, and required valid scientific evidence as part of regulatory validation [155]."
Title 21 — Part 888 (eCFR),2026,"The document identifies a dedicated regulatory subpart for prosthetic devices within FDA regulations, labeling the category 'Prosthetic Devices' and listing specific device sections under that heading [149].","The regulation lists specific prosthesis types by anatomical site and functional class, including a named category for 'Passive tendon prosthesis' which corresponds to passive devices; other entries enumerate joint prostheses (wrist, elbow, finger) indicating classification by function and anatomy [149].","The document provides regulatory scope and references to premarket notification requirements (510(k)), which have clinical relevance for device availability and surveillance; however, it does not provide clinical guidance on prescription, rehabilitation, or functional outcomes [149].","This source is a regulatory text (21 CFR Part 888) governing orthopedic and prosthetic devices; it defines device listings by section, indicates applicability of statutory requirements (e.g., 510(k) premarket notification) and provides the legal framework for device classification, regulatory controls, and safety reporting in the U.S. [149]."
Regulation (EU) 2017/745 - Medical Devices Regulation,2017,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,The Regulation specifies the legal definition of a 'medical device' and includes devices intended to replace or modify anatomy where the effect is achieved by physical or mechanical means [156]. It establishes classification rules based on risk criteria (Annex VIII) including invasiveness and whether the device is active [156]. It requires manufacturers to implement post-market surveillance and vigilance systems for safety monitoring [156]. It also frames requirements for placing devices on the market and conformity assessment procedures [156].
Clinical Practice - American Academy of Orthotists and Prosthetists,2026,"The page frames clinical practice resources as aimed at supporting patient care by providing evidence and guidance to clinicians and stakeholders; it does not define 'upper limb prostheses' specifically but positions O&P resources (e.g., Evidence Notes) as summaries of evidence about health technologies relevant to prosthetics and orthotics [157].",Not mentioned in source.,The source emphasizes clinical resources for prosthetics practice: use of Clinical Practice Guidelines to inform care [157]; outcome measure toolkits and How-To videos to support selection and reporting of outcome measures [157]; and 'State-of-the-Science' findings providing validated clinical guidance and best practices for practitioners and training programs [157].,"The page does not present regulatory frameworks or device classification details but indicates resources (Evidence Notes) intended to inform clinicians, manufacturers, and payers; it also links to Position Statements which may address policy or regulatory positions [157]."
American Academy of Orthotists and Prosthetists - Clinical Practice Guidelines,2025,"The document defines Clinical Practice Guidelines (CPGs) as ""systematically developed statements that can help clinicians decide on the best care for their patients"" and states that CPGs aim to reduce inappropriate practice variation and improve translation of research into practice and healthcare quality and safety [158].",Not mentioned in source.,"The source explains that CPGs provide patient care recommendations based on systematic reviews and expert opinion using a modified Delphi process, and details the Academy's structured CPG development workflow including systematic/scoping review, Guideline Development Group, expert panel, Modified Delphi consensus, and Board approval [158].","The source frames guideline quality and endorsement processes: it emphasises rigorous, transparent development of CPGs to earn professional/public confidence and states the Academy uses the AGREE II instrument (23 items, 6 domains) to assess guideline quality; it also allows external CPGs to seek Academy endorsement via a defined review process [158]."
VA/DoD Clinical Practice Guideline for the Management of Upper Limb Amputation Rehabilitation,2022,"Defines upper limb amputation rehabilitation and prosthetic purpose as optimizing patients health, function, independence, and quality of life and providing guidance across perioperative, pre-prosthetic, prosthetic training, and lifelong care phases [159].","Describes prosthesis typologies and control strategies including passive, body-powered, externally powered (myoelectric), task-specific/activity-specific and hybrid considerations; recommends documenting design and control strategy in prescription [159].","Provides clinical framework for prosthetic prescription: interdisciplinary team, components to include (design, control strategy, socket, suspension, terminal device), four rehab phases (perioperative, pre-prosthetic, prosthetic training, lifelong care), recommends body-powered or externally powered devices for major unilateral ULA (weak), and notes insufficient evidence to prefer specific control, socket, suspension or components [159].","Frames prostheses within medical/clinical governance: guideline uses systematic review and GRADE for evidence-based recommendations; emphasizes clinical validation quality, recommendation strength, and that CPGs guide care but are not policy—does not provide device regulatory (FDA/CE) classifications or safety standards details in this source [159]."
WHO standards for prosthetics and orthotics,2017,"Defines prostheses as artificial limbs (legs and hands) that enable people with physical impairments to live healthy, productive, independent and dignified lives and participate socially and economically [160]. States that prostheses can reduce need for formal health care and long-term care support [160].","Mentions prostheses generally as artificial legs and hands but does not classify types (passive/cosmetic, body-powered, myoelectric, hybrid). [160]","Provides system-level clinical considerations: recommends integration of prosthetics/orthotics services into health systems and provides global standards and an implementation manual to assist Member States in establishing or improving delivery systems [160]. Highlights barriers affecting clinical access: high cost, lack of awareness, availability, trained personnel, policy and financing, with only ~1 in 10 people in need having access [160]. No detailed patient-level prescription or rehabilitation protocols in this page-level text.","Frames prosthetics within human-rights and health-systems policy: references CRPD obligations for Member States to ensure access to mobility aids, and positions the standards as supporting universal health coverage and SDGs [160]. Does not provide device-level regulatory classification, safety standards, or clinical validation details in the provided text."
Prosthetic management of unilateral transradial amputation and limb ...,2022,"This source states that upper limb prostheses lack strong, detailed clinical guidance for clinicians, and that the field is beginning to develop clinical practice guidelines to guide prosthetic rehabilitation and care decisions [54].","The source discusses prosthesis classifications by power source and terminal device, contrasting body-powered versus externally powered (myoelectric) systems and terminal devices such as hands, hooks, and activity-specific devices; it also notes limited evidence favoring one type over another [54].","The source addresses clinical considerations by reporting a Delphi consensus process to create clinical practice guidelines for unilateral transradial amputees, aiming to inform prosthetic design, terminal device selection, and indications/contraindications; it highlights the need to support clinicians with guidance due to limited specialist expertise [54].",Not mentioned in source.
Upper limb prosthetic prescription - PMC - NIH,2023,The article defines the central goal of upper limb prosthesis rehabilitation as determining and prescribing the most suitable prosthesis matched to the clinical features of the person with upper extremity amputation [161]. It also describes passive (cosmetic) prostheses as intended primarily to cosmetically complete the missing part rather than to provide substantial function [161].,"The source classifies prostheses into four main categories: passive (cosmetic), body-powered/mechanical, electrically powered (including myoelectric and bionic hands), and hybrid systems [161]. It describes passive prostheses as cosmetic with minimal function [161], body-powered/mechanical prostheses as using harness-cable transmission of user-generated forces to operate joints [161], electrically powered myoelectric prostheses as using muscle electrical activity detected by electrodes to drive motors for hand/wrist/elbow control [161], and hybrid prostheses as combining mechanical and electrical control (commonly electrical hand with mechanical elbow) [161].","Clinical considerations emphasized include detailed patient history (age, time since amputation, etiology, comorbidities, activities, profession), stump characteristics (level, length, skin, scarring), range of motion, muscle strength, phantom pain, and cognitive status, all of which guide prosthesis selection [161]. Stump length/level is highlighted as a key determinant for device complexity (e.g., channel number) [161]; skin/graft condition affects electrode placement [161]; ensuring maximal ROM prior to fitting is advised [161]; cognitive impairment favors simpler passive/mechanical devices [161]. The article also stresses rehabilitation/occupational therapy, training for myoelectric control, pediatric growth considerations, and the importance of team experience and trial/demo fittings [161].",Not mentioned in source.
[PDF] Factor Analysis of Upper Extremity Prosthetic Patient Acceptance,2015,"The source frames upper limb prostheses primarily as clinical rehabilitation devices intended to restore function and independence to people with upper limb absence, emphasizing their role within a multidisciplinary rehabilitation program and individualized care plans [162].","The source discusses multiple prosthesis types: passive/cosmetic devices and passive functional devices [162]; body-powered systems and voluntary opening/closing terminal devices (hooks) [162]; myoelectric/externally powered multi-articulating hands including control advances such as pattern recognition and targeted muscle reinnervation to improve myoelectric control [162]. Hybrid approaches (e.g., combinations of components, sockets with advanced terminal devices) are implied in descriptions of mixed-component fittings but not explicitly labelled as 'hybrid' [162].","The source emphasizes clinical considerations for prescription: key factors influencing acceptance include amputation level, functional advantage, socket/harness comfort, social support, therapy/training, and prosthetist competency [162]. It advocates multidisciplinary evaluation (patient, prosthetist, therapist, surgeon), individualized outcome measures, use of validated and internally developed outcome tools, and addressing mental health and rehabilitation training (e.g., Wellness Inventory) as part of prescription and follow-up [162]. It also reports functional comparisons and training implications for control systems (e.g., FLAG safety feature, grip chips, PR after TMR) and highlights pediatric fitting considerations and socket adjustability [162].",Not mentioned in source.
Standards of Accreditation for The Orthotic/Prosthetic Residency Training Program,2021,"Defines prosthetic care within residency as clinical management of comprehensive orthotic and prosthetic patient care, with devices characterised as custom fabricated or custom-fit prefabricated limb prostheses [163].","Mentions upper-limb prostheses as a required competency area and refers to exposure to 'externally powered prosthesis' (which corresponds to myoelectric/externally powered types). Does not provide an explicit taxonomy (passive/cosmetic, body-powered, myoelectric, hybrid) or detailed descriptions of passive or body-powered types in the text provided [163].","Emphasises clinical evaluation, formulation and implementation of treatment plans, supervision, patient education, follow-up, and use of validated outcome measures to assess device function and reliability. Specifies supervised progressive responsibility and competencies in assessment, fabrication, fitting, adjustment, and long-term follow-up [163].","Addresses regulatory/administrative aspects relevant to prosthetic practice: requirement to document to meet regulatory/business requirements, knowledge of federal/state legislation and regulations, legal compliance and insurance documentation, and linkage to professional accreditation (ABC/BOC) for program approval. Does not detail medical device regulatory classification (FDA/CE) or device safety/clinical validation standards in the provided text [163]."
Clinical Practice Guidelines for the Prosthetics and Orthotics Profession,2022,Not mentioned in source.,Not mentioned in source.,"The source is an editorial announcing clinical practice guidelines for the prosthetics and orthotics profession and therefore indicates the presence of guideline content for clinical practice, but the provided page does not include the guideline text or specific clinical recommendations; it only identifies the document title and publication details [164].",Not mentioned in source.
Clinical Practice Guidelines for the Prosthetics and Orthotics Profession,2022,This editorial introduces clinical practice guidelines for the prosthetics and orthotics profession and frames the role of prosthetics in clinical practice as a discipline concerned with provision of prosthetic and orthotic care; it implies the purpose of prosthetic care is to guide clinical practice and improve patient outcomes through evidence-based guidelines [165].,Not mentioned in source.,"The source states the publication/introduction of clinical practice guidelines intended to guide prosthetic and orthotic clinical practice and improve care, but provides no specific clinical recommendations, outcomes data, or detailed prescription guidance in the accessible text [165].",Not mentioned in source.
Clinical Practice Guidelines,2025,"The AAOS frames Clinical Practice Guidelines as evidence-based programs for orthopaedic diagnosis, treatment, and postoperative procedures, indicating that guidelines serve to define and communicate standards of care and the purpose of clinical interventions [166].",Not mentioned in source.,"The site lists clinical practice guidelines and appropriate use criteria relevant to upper extremity conditions and provides resources (CPGs, AUC, performance measures) intended to guide clinical decision-making and standardize care for upper extremity disorders [166].","The page describes AAOS endorsement and review procedures for external clinical practice guidelines and appropriate use criteria, detailing a methodological review and multi-step approval process but does not discuss medical device regulation, FDA/CE classification, safety, or clinical validation for prosthetic devices [166]."
prosthetic guidelines - BACPAR,2021,"The document describes evidence-based clinical guidelines for prosthetic physiotherapy management of adults with lower limb amputations, framing prostheses as therapeutic devices used in rehabilitation and physiotherapy [167].",Not mentioned in source.,The source provides clinical guidance focused on physiotherapy management for adults with lower limb amputations and makes available recommendation and process documents intended to support clinical practice and audit implementation [167].,"The source is a professional guideline document (3rd edition) intended to inform clinical practice; it does not discuss medical device regulatory frameworks, classification, safety standards, or clinical validation processes for prosthetic devices themselves [167]."
VA/DoD Clinical Practice Guideline: Management of Upper Limb Amputation Rehabilitation — Provider Summary,2022,"Provides a definition-framing of upper limb prostheses within upper limb amputation (ULA) rehabilitation: prostheses are clinical interventions/devices used to restore function and independence after ULA and are components of perioperative, pre-prosthetic, prosthetic training, and lifelong care pathways for adults with ULA [168].","Classifies prostheses and control strategies including passive (cosmetic), body-powered, externally powered (myoelectric and other externally driven inputs), hybrid, and task-specific devices, and summarizes key advantages/disadvantages for each type [168].","Provides clinical guidance on prosthetic prescription and management: recommends interdisciplinary, individualized prescriptions (components listed in Table 5), outlines four rehabilitation phases (perioperative to lifelong), emphasizes training and outcome measurement, and gives a weak recommendation favoring body-powered or externally powered prostheses for major unilateral ULA to improve independence [168].","Addresses clinical guideline and evidence-evaluation frameworks rather than device regulatory approval: documents use systematic review methods and GRADE to rate evidence and recommendations, notes scope/date of evidence, and clarifies the guideline's non-policy status; it does not provide device regulatory classifications (FDA/CE) or testing standards in this summary [168]."
VA/DoD Clinical Practice Guideline for the Management of Upper Limb Amputation Rehabilitation,2022,"This VA/DoD guideline defines the purpose of upper limb prostheses within the broader aim of amputation rehabilitation: to optimize health status, function, independence, and quality of life, and to support patients across perioperative, pre-prosthetic, prosthetic training, and lifelong care phases. It frames prostheses as components of individualized rehabilitation plans and documents essential prescription elements (design, control strategy, socket, suspension, terminal device, joints) [169].","The guideline lists and classifies prostheses by control strategy and design: passive (cosmetic/task-specific), body-powered, externally powered (myoelectric), and task-specific/activity-specific devices. It explicitly includes these categories in prescription elements and recommends active prostheses (body-powered or externally powered) for major unilateral amputations to improve independence [169].","Clinical considerations emphasized include a phased rehabilitation model (perioperative, pre-prosthetic, prosthetic training, lifelong care), interdisciplinary amputation care teams, and individualized prosthesis prescriptions (design, control, socket, suspension, components). The guideline discusses prosthetic candidacy, training, signs needing modification (pain, skin breakdown, volume change), and specific clinical recommendations (e.g., suggest mirror therapy for short-term phantom limb pain; weak recommendation favoring body-powered or externally powered prostheses for major unilateral amputations). It also notes limited evidence for many specific protocols and components [169].","The guideline is a clinical practice guideline (not a regulatory document) developed using systematic review and GRADE to rate evidence and recommendation strength; it explicitly states it does not constitute VA or TRICARE policy. It describes methodological rigor (evidence review, conflict of interest management, external peer review, implementation considerations) that align with standards for clinical validation and trustworthy guidance, and provides implementation/toolkit materials. It does not detail device regulatory classifications (FDA/CE) or technical safety standards in this text [169]."
Management of Upper Limb Amputation Rehabilitation,2023,Defines upper limb amputation and the role of prostheses within rehabilitation as addressing significant functional impairment and providing tools to improve independence and function in people with acquired upper limb loss; the guideline is intended to guide healthcare providers in management and prosthetic restoration decisions across the care continuum [170].,"Lists main prosthesis typologies: no prosthesis, passive/cosmetic, body-powered, externally powered/myoelectric (externally powered), hybrid (body + external), and activity-specific devices; notes actively controlled prostheses (body-powered, externally powered, hybrid) are suggested to improve independence but the evidence does not favor one control type, socket design, suspension, or component over another [170].","Summarizes clinical guidance: suggests body-powered or externally powered prostheses for major unilateral ULA to improve independence [170]; recommends mirror therapy for short-term phantom limb pain reduction [170]; emphasizes individualized prescription decisions made collaboratively with patient and team, screening for cognition, mental health, and pain, and use of outcome measures though no single assessment tool is endorsed due to insufficient evidence [170].",Addresses clinical guideline and evidence-grade framework (GRADE) used to develop recommendations and emphasizes lack of high-quality evidence; does not provide regulatory classification (FDA/CE) or device safety/clinical validation details in the article. [170].
Prosthetic management of unilateral transradial amputation and limb deficiency: Consensus clinical standards of care,2021,"This consensus guideline frames unilateral transradial prostheses as clinical interventions requiring structured guidance for provision and decision-making, highlighting a gap in detailed clinical guidance for upper limb prosthesis care [171] and stating that clinical practice guidelines assist decision-making in prosthetic provision [171].",Not mentioned in source.,"The source reports development of consensus-based clinical guidance: it used a three-round Delphi survey to produce 40 consensus statements (>80% agreement) from 22 experts, organized into nine guidelines for provision of prosthetic care for unilateral transradial patients [171]. It emphasizes that these guidelines were developed to guide clinical decision-making where empirical evidence is inconclusive [171].",Not mentioned in source.
Prosthetic management of unilateral transradial amputation and limb deficiency: Consensus clinical standards of care,2021,Not mentioned in source.,Not mentioned in source.,"The source provides consensus standards of care for adults with unilateral transradial amputation, including recommendations on evaluation, prescription, component selection, training, and follow-up care [172]. It emphasises patient-centred care focusing on functional goals, shared decision-making, and individualized rehabilitation plans [172].",Not mentioned in source.
Limb Salvage or Early Amputation Evidence-Based Clinical Practice Guideline,2019,"This guideline defines the scope as management of severe lower limb trauma and frames prostheses as part of post-amputation care and rehabilitation, recommending that all patients with lower extremity amputation be fitted with an appropriate prosthesis [54]. It states the guidelines purpose is to improve treatment selection (amputation vs salvage) and to support rehabilitation and prosthetic/orthotic services as critical components of recovery [54].",Not mentioned in source.,"The guideline emphasizes rehabilitation (PT/OT/behavioral health) for improving psychological and functional outcomes and recommends routine psychosocial screening for trauma patients [54]. It endorses provision of an appropriate prosthesis to all amputees and evaluation for orthoses in salvage patients [54]. Clinical decision-making should account for cumulative injury burden and be dynamic over time; established injury severity scores should not be used alone to select amputation vs salvage [54]. It also details specific considerations (nerve, vascular, soft tissue, smoking, comorbidities) with graded recommendations and rationale for each [54].","The document is a clinical practice guideline (not a regulatory document) developed via systematic review and consensus; it notes funding source and explicitly cautions that referenced devices or drugs may not have FDA clearance and places responsibility on physicians to verify regulatory status [54]. It does not provide regulatory classification, safety testing, or device validation procedures beyond recommending appropriate prosthetic provision and consideration of device access in shared decision-making [54]."
VA/DoD Management of UEAR Clinical Practice Guideline,2014,Not mentioned in source.,Not mentioned in source.,"The document is not accessible (404 page) and the retrieved text contains website navigation and help information rather than clinical guideline content; therefore it does not provide information on clinical considerations, prescription, functional outcomes, or rehabilitation beyond general site help and crisis resources [173].",Not mentioned in source.
ISPO Education Standards for Prosthetic/Orthotic Occupations,2018,"The source defines a prosthesis as an ""externally-applied device used to replace wholly or partly an absent or deficient limb segment"" and frames prosthetics as the ""science and art of treating individuals with the use of prostheses"" [174].","The source discusses upper limb prostheses in curriculum terms (socket designs, suspension methods, control principles, components/materials) but does not present a classification into passive/cosmetic, body-powered, myoelectric, or hybrid types explicitly. It notes advanced topics such as functional electrical stimulation and additive manufacture as elective content, but offers no typology taxonomy [174].","The source addresses clinical considerations emphasizing evidence-based clinical assessment, prescription, technical design, fabrication, and the need for competency in examination, evaluation, and outcome monitoring. It frames education standards to ensure graduates can perform user-centred assessment, implement prosthetic service plans, and evaluate fit, function, and outcomes [174].","The source situates prosthetic/orthotic education within regulatory and accreditation frameworks: programmes should meet national/international regulatory requirements, graduates should be eligible for licensure/registration, and curricula should align with standards to protect users. It also emphasizes programme-level safety and governance but does not provide device-level regulatory classification (e.g., FDA/CE) or clinical validation protocols [174]."
"[1] Soyer et al., 2016. The importance of rehabilitation concerning upper extremity amputees: A Systematic review."
"[2] Bates et al., 2020. Technological Advances in Prosthesis Design and Rehabilitation Following Upper Extremity Limb Loss."
"[3] Segura et al., 2024. Upper Limb Prostheses by the Level of Amputation: A Systematic Review."
"[4] Ritchie et al., 2011. Perceptions of cosmesis and function in adults with upper limb prostheses: a systematic literature review."
"[5] Biddiss & Chau, 2007. The roles of predisposing characteristics, established need, and enabling resources on upper extremity prosthesis use and abandonment."
"[6] Ribeiro et al., 2019. Analysis of Man-Machine Interfaces in Upper-Limb Prosthesis: A Review."
"[7] O'Keeffe, 2011. Prosthetic rehabilitation of the upper limb amputee."
"[8] Cordella et al., 2016. Literature Review on Needs of Upper Limb Prosthesis Users."
"[9] Battraw et al., 2022. A review of upper limb pediatric prostheses and perspectives on future advancements."
"[10] Kubiak et al., 2019. Prosthetic Rehabilitation and Vascularized Composite Allotransplantation following Upper Limb Loss."
"[11] Resnik et al., 2012. Advanced upper limb prosthetic devices: implications for upper limb prosthetic rehabilitation."
"[12] Wright, 2006. Measurement of Functional Outcome With Individuals Who Use Upper Extremity Prosthetic Devices: Current and Future Directions."
"[13] Vujaklija et al., 2016. New developments in prosthetic arm systems."
"[14] Kerver et al., 2020. User-relevant factors determining prosthesis choice in persons with major unilateral upper limb defects: A meta-synthesis of qualitative literature and focus group results."
"[15] Makwanda & Ikhile, 2023. Advancements of Upper Limb Prostheses can Improve Patient Quality of Life: A Technology Review."
"[16] Dudkiewicz et al., 2004. Evaluation of prosthetic usage in upper limb amputees."
"[17] Madhanagopal et al., 2020. Introductory Chapter: Past, Present, and Future of Prostheses and Rehabilitation."
"[18] NiMhurchadha et al., 2013. Identifying successful outcomes and important factors to consider in upper limb amputation rehabilitation: an international web-based Delphi survey."
"[19] Yamamoto et al., 2019. Cross-sectional International Multicenter Study on Quality of Life and Reasons for Abandonment of Upper Limb Prostheses."
"[20] Avellar et al., 2025. Outcome measures used in the evaluation of adult upper-limb prostheses - kinematic and functional aspects: A scoping review."
"[21] Walters et al., 2025. Demystifying upper limb hybrid prostheses—a scoping review."
"[22] Thomas et al., 2023. Delivery of UK military upper limb prosthetics: current concepts and future directions."
"[23] Koller & Wetz, 2006. [Management of upper limb deformities. Treatment concepts through the years]."
"[24] Sims, 2017. A Literature Review of Children's Use of and Satisfaction with Upper Limb Prostheses."
"[25] Fink & Diamond, 2023. Prosthesis Options and Management in Upper Extremity Amputation."
"[26] Martini et al., 1990. [Problems and techniques of functional rehabilitation of upper limb stump]."
"[27] Schacter, 2017. Upper Limb Prosthesis: A Functional Replacement for the Biological Limb?."
"[28] Sjöberg, 2016. Long term results of early myoelectric prosthetic fitting : a prospective case-control study."
"[29] Chin, 2013. Myoelectric Prostheses for Upper-limb Amputees."
"[30] Gard, 2006. Prosthetic Devices and Methods."
"[31] Afonso et al., 2009. Amputações e Malformações Congénitas do Membro Superior na População Pediátrica - Revisão de 27 Anos."
"[32] Burger, 2011. Perspective Of A Prm Specialist On Rehabilitation Of Persons Following Upper Limb Amputation."
"[33] Dodson. Progressive Upper Limb Prosthetics Chris Lake , CPO , FAAOP * ,."
"[34] Ryan, 2011. Occupational Therapy: Training Postural Control For Functional Upper Limb Prosthesis Use."
"[35] Review et al., 2017. Differences in Myoelectric and Body-Powered Upper-Limb Prostheses: Systematic Literature Review."
"[36] Carey et al., 2017. Differences in Myoelectric and Body-Powered Upper-Limb Prostheses: Systematic Literature Review Update 2013–2016."
"[37] Toledo et al., 2009. Upper limb prostheses for amputations above elbow: A review."
"[38] Hashim et al., 2018. Improvement on upper limb body-powered prostheses (1921–2016): A systematic review."
"[39] García et al., 2013. Simulator of a Myoelectrically Controlled Prosthetic Hand with Graphical Display of Upper Limb and Hand Posture."
"[40] Uellendahl, 2017. Myoelectric versus Body-Powered Upper-Limb Prostheses: A Clinical Perspective."
"[41] Biddiss et al., 2007. Consumer design priorities for upper limb prosthetics."
"[42] Millstein et al., 1986. Prosthetic Use in Adult Upper Limb Amputees: A Comparison of the Body Powered and Electrically Powered Prostheses."
"[43] Roche et al., 2014. Prosthetic Myoelectric Control Strategies: A Clinical Perspective."
"[44] Kannenberg, 2017. Active Upper-Limb Prostheses: The International Perspective."
"[45] Maat et al., 2017. Passive prosthetic hands and tools: A literature review."
"[46] Amici et al., 2015. [Bioelectric prostheses: review of classifications and control strategies]."
"[47] Gonzalez et al., 2021. Getting a Grip on the Impact of Incidental Feedback From Body-Powered and Myoelectric Prostheses."
"[48] Stevens & Highsmith, 2017. Myoelectric and Body Power, Design Options for Upper-Limb Prostheses: Introduction to the State of the Science Conference Proceedings."
"[49] Englehart et al., 2006. Myoelectric Control of Powered Upper-Limb Prostheses."
"[50] Resnik et al., 2020. Function and quality of life of unilateral major upper limb amputees: Impact of prosthesis use and type."
"[51] Engdahl et al., 2024. Perspectives on the comparative benefits of body-powered and myoelectric upper limb prostheses."
"[52] Engdahl et al., 2022. A comparison of compensatory movements between body-powered and myoelectric prosthesis users during activities of daily living."
"[53] Li, 2011. Electromyography Pattern-Recognition-Based Control of Powered Multifunctional Upper-Limb Prostheses."
"[54]"
"[55] Engdahl & Gates, 2021. Differences in quality of movements made with body-powered and myoelectric prostheses during activities of daily living."
